AgeGroup,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases
20s,0.25711311589174185,0.19326856349757113,0.42297015961138096,0.12664816099930604
30s,0.2756020111140513,0.16896004233924317,0.39137337920084675,0.16406456734585867
40s,0.2825557809330629,0.15973630831643001,0.38255578093306286,0.1751521298174442
50s,0.26889440020884997,0.19227254927555143,0.3857198799112387,0.1531131706043597
60s+,0.27766258246936854,0.2024505183788878,0.38793590951932133,0.13195098963242222
